,Companies
1,365FarmNet Group KGaA mbh & Co KG
2,A.S.I. Wirtschaftsberatung AG
3,Accenture
4,adesso orange AG
5,adesso SE
6,Adyen
7,AKKA Deutschland GmbH
8,Allianz Management Programm Vertrieb
9,ALTEN GmbH
10,Amazon Deutschland Services GmbH
11,APL Automobil-Prüftechnik Landau GmbH
12,Assure Consulting GmbH
13,Atos
14,Austin International
15,AUTO1 Group
16,Avaloq Sourcing (Europe) AG
17,B/S/H/ Hausgeräte GmbH
18,Baker Tilly
19,Bank of Scotland
20,BASF - We create chemistry
21,Bayer
22,BDO AG Wirtschaftsprüfungsgesellschaft
23,BearingPoint GmbH
24,Berlin.Industrial.Group. (B.I.G.)
25,Berliner Sparkasse
26,Berliner Verkehrsbetriebe (BVG)
27,Berliner Wasserbetriebe
28,BettercallPaul gmbh
29,Bezirksamt Neukölln von Berlin
30,BIM Berliner Immobilienmanagement GmbH
31,BIOTRONIK
32,BMW Group
33,Bonava Deutschland GmbH
34,brainsphere informationworks gmbh
35,Brandenburgischer Landesbetrieb für Liegenschaften und Bauen (BLB)
36,BTC Business Technology Consulting AG
37,Bundesamt für die Sicherheit der nuklearen Entsorgung (BASE)
38,Bundesamt für Verfassungsschutz
39,Bundeskriminalamt
40,Bundesnachrichtendienst
41,Bundesverwaltungsamt
42,BWI GmbH
43,CALEO Consulting GmbH
44,Campana & Schott
45,Capgemini
46,Cargill
47,CFA Society Germany
48,CLAAS
49,Coca-Cola European Partners Deutschland GmbH
50,COMATCH GmbH
51,Consileon Business Consultancy GmbH
52,Contorion GmbH
53,Cornelsen
54,Cortado Holding AG
55,CURACON GmbH Wirtschaftsprüfungsgesellschaft
56,d-fine GmbH
57,DEKRA
58,Deloitte
59,Detecon International GmbH
60,Deutsche Bahn AG
61,Deutsche Bank
62,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH
63,Deutsche Kreditbank AG
64,Deutsche Telekom AG
65,Deutsches Zentrum für Luft- und Raumfahrt (DLR)
66,Diehl Stiftung & Co. KG
67,DIN e. V.
68,DIS AG
69,Dr. Oetker
70,Dream Broker
71,Drees & Sommer
72,DURAG GROUP
73,E.DIS Netz GmbH
74,ebay Group
75,EDAG Engineering GmbH
76,EDEKA AG
77,Elmos Semiconductor SE
78,engineering people GmbH
79,Enterprise Autovermietung Deutschland B.V. & Co. KG
80,EXCELLENCE AG
81,experts
82,Expleo Group
83,EY
84,Fabasoft
85,FACT-Finder Holding
86,FDM Group
87,FERCHAU GmbH
88,FOM Hochschule
89,foodspring GmbH
90,Fraunhofer-Institut für Zuverlässigkeit und Mikrointegration IZM
91,Freie und Hansestadt Hamburg
92,Futurice GmbH
93,G&H Bankensoftware AG
94,GASAG-Gruppe
95,GASTROFIX by Lightspeed
96,Gebr. Heinemann SE & Co. KG
97,Genossenschaftsverband - Verband der Regionen e.V.
98,Grant Thornton AG Wirtschaftsprüfungsgesellschaft
99,GULP Solution Services GmbH & Co. KG
100,Hays
101,Hella Aglaia Mobile Vision GmbH
102,Hewlett Packard Enterprise
103,Hilti Deutschland AG
104,HITZLER INGENIEURE
105,Hochschule für Wirtschaft und Recht (HWR) Berlin / Berlin Professional School
106,Houzz
107,HRworks GmbH
108,HYDAC INTERNATIONAL GmbH
109,IAMT Engineering GmbH & Co. KG
110,IAV
111,iBanFirst SA
112,ICS GmbH (Informatik Consulting Systems GmbH)
113,ifb SE
114,in-tech GmbH
115,INFODAS GmbH
116,Informationstechnikzentrum Bund (ITZBund)
117,InMediasP GmbH
118,Intuitive Surgical Deutschland GmbH
119,Investitionsbank des Landes Brandenburg (ILB)
120,ITARICON GmbH
121,ITK Engineering GmbH
122,IVU Traffic Technologies AG
123,jember GmbH
124,john becker ingenieure GmbH & Co. KG
125,Kassenärztliche Bundesvereinigung (KBV)
126,Kaufland
127,Keyence Deutschland GmbH
128,KfW Bankengruppe
129,Kondor Wessels
130,KPMG AG Wirtschaftsprüfungsgesellschaft
131,KWS Gruppe
132,Lidl
133,Lufthansa Industry Solutions
134,Lufthansa Technik AG
135,mailbox.org
136,manu dextra GmbH
137,Max Bögl
138,MBDA Deutschland
139,Meltwater Deutschland GmbH
140,Messe Berlin GmbH
141,meteocontrol GmbH
142,mgm technology partners GmbH
143,MicroNova
144,MLP Finanzberatung SE
145,Modis GmbH
146,msg
147,MTU Maintenance Berlin-Brandenburg GmbH
148,MW Power Engineering GmbH
149,MYTOYS GROUP
150,Natuvion GmbH
151,NEUMÜLLER Unternehmensgruppe
152,NEW YORKER
153,Nortal AG
154,Offerista Group GmbH
155,Optris GmbH
156,Orphoz - A MCKINSEY COMPANY
157,P3
158,PD - Berater der öffentlichen Hand GmbH
159,"Peek & Cloppenburg KG, Düsseldorf"
160,Pepperl+Fuchs SE
161,PERM4 | Permanent Recruiting GmbH
162,persona service AG & Co. KG
163,Personio GmbH
164,Pfizer Deutschland GmbH
165,Phaidon International GmbH
166,Phoenix Contact GmbH & Co. KG
167,PikeTec GmbH
168,Pixida GmbH
169,Planisware Deutschland GmbH
170,PRODYNA SE
171,Projektron GmbH
172,PROMOS consult
173,PSI Software AG
174,PwC
175,Reply Deutschland SE
176,Rhenus Gruppe
177,Rhomberg Sersa Deutschland Holding GmbH & Co. KG
178,RITTERWALD Unternehmensberatung GmbH
179,Robert Bosch Car Multimedia GmbH
180,Rücker + Schindele Beratende Ingenieure GmbH
181,S Rating und Risikosysteme GmbH
182,SAFRAN
183,Salzgitter AG
184,Sanofi-Aventis Deutschland GmbH
185,Scandio GmbH
186,Schwarz Produktion Stiftung & Co. KG
187,SD&C Solutions Development & Consulting GmbH
188,Senat der Freien und Hansestadt Hamburg
189,SIGNON Deutschland GmbH
190,Smarketer GmbH
191,SNP Schneider-Neureither & Partner SE
192,SOFHA GmbH
193,Sopra Steria
194,SPIE Deutschland & Zentraleuropa GmbH
195,Stadler Pankow GmbH
196,STILL GmbH
197,Stromnetz Berlin GmbH
198,Sweco GmbH
199,T-Systems Multimedia Solutions GmbH
200,Tata Consultancy Services Deutschland
201,The Qt Company GmbH
202,THOST Projektmanagement GmbH
203,Thüringer Agentur Für Fachkräftegewinnung (ThAFF)
204,TJX Europe / TK Maxx
205,Trelleborg Antivibration Solutions Germany GmbH
206,TUI
207,TÜV NORD IT Secure Communications GmbH & Co. KG
208,TÜV Rheinland
209,UNIQLO Europe Ltd.
210,Value AG
211,Vattenfall
212,VDI/VDE Innovation + Technik GmbH
213,VINCI Energies Deutschland GmbH
214,VIRES CONFERRE
215,Volkswagen Group IT Solutions GmbH
216,Volkswagen Group Services GmbH
217,Volvo Construction Equipment
218,VSB Gruppe
219,WPS – Workplace Solutions
220,WTS Group AG Steuerberatungsgesellschaft
221,Würth IT GmbH
222,X2E Aerospace Technologies GmbH
